col_name,desc,data_type,"scale (N, O, I, R)",domain,missing_values
AWKSTAT,full or part time employment stat,string ,N,"{Children or Armed Forces, Full-time schedules, Not in labor force, PT for econ reasons usually FT, PT for econ reasons usually PT, PT for non-econ reasons usually FT, Unemployed full-time, Unemployed part-time}",0
CAPGAIN,capital gains,int ,R,"{0, 114, 401, 594, 914, 991, 1055, 1086, 1090, 1111, 1140, 1151, 1173, 1264, 1409, 1424, 1455, 1471, 1506, 1731, 1797, 1831, 1848, 2009, 2036, 2050, 2062, 2098, 2105, 2174, 2176, 2202, 2227, 2228, 2290, 2329, 2346, 2354, 2387, 2407, 2414, 2463, 2538, 2580, 2597, 2601, 2635, 2653, 2774, 2829, 2885, 2907, 2936, 2961, 2964, 2977, 2993, 3103, 3137, 3273, 3325, 3411, 3418, 3432, 3456, 3464, 3471, 3674, 3781, 3800, 3818, 3887, 3908, 3942, 4064, 4101, 4386, 4416, 4508, 4594, 4650, 4687, 4787, 4865, 4931, 4934, 5013, 5060, 5178, 5455, 5556, 5721, 6097, 6360, 6418, 6497, 6514, 6612, 6723, 6767, 6849, 7262, 7298, 7430, 7443, 7688, 7896, 7978, 8530, 8614, 9386, 9472, 9562, 10520, 10566, 10605, 11678, 13550, 14084, 14344, 15020, 15024, 15831, 18481, 20051, 22040, 25124, 25236, 27828, 34095, 41310, 99999}",0
CAPLOSS,capital losses,int,R,"{0, 155, 213, 323, 419, 625, 653, 772, 810, 880, 974, 1021, 1092, 1138, 1258, 1340, 1380, 1408, 1411, 1421, 1429, 1436, 1485, 1504, 1510, 1539, 1564, 1573, 1579, 1590, 1594, 1602, 1617, 1628, 1640, 1648, 1651, 1668, 1669, 1672, 1719, 1721, 1726, 1735, 1740, 1741, 1755, 1762, 1816, 1825, 1844, 1848, 1870, 1876, 1887, 1902, 1911, 1944, 1956, 1974, 1977, 1980, 2001, 2002, 2027, 2042, 2051, 2057, 2080, 2090, 2129, 2149, 2163, 2174, 2179, 2201, 2205, 2206, 2231, 2238, 2246, 2258, 2267, 2282, 2339, 2352, 2377, 2392, 2415, 2444, 2457, 2465, 2467, 2472, 2489, 2519, 2547, 2559, 2597, 2603, 2704, 2722, 2754, 2788, 2824, 3004, 3175, 3500, 3683, 3770, 3900, 4356, 4608}",0
DIVVAL,dividends from stocks,int,R,"{   0,     5,   250, ...,  2888, 10158, 18164}",0
FILESTAT,tax filer status,string ,N,"{Head of household, Joint both 65+, Joint both under 65, Joint one under 65 & one 65+, Nonfiler, Single}",0
GRINREG,region of previous residence,string ,N,"{Abroad, Midwest, Northeast, Not in universe, South, West}",0
GRINST,state of previous residence,string ,N,"{?, Abroad, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Not in universe, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, West Virginia, Wisconsin, Wyoming}",0
HHDFMX,detailed household and family stat,string ,N,"{Child 18+ ever marr Not in a subfamily, Child 18+ ever marr RP of subfamily, Child 18+ never marr Not in a subfamily, Child 18+ never marr RP of subfamily, Child 18+ spouse of subfamily RP, Child <18 ever marr RP of subfamily, Child <18 ever marr not in subfamily, Child <18 never marr RP of subfamily, Child <18 never marr not in subfamily, Child <18 spouse of subfamily RP, Child under 18 of RP of unrel subfamily, Grandchild 18+ ever marr RP of subfamily, Grandchild 18+ ever marr not in subfamily, Grandchild 18+ never marr RP of subfamily, Grandchild 18+ never marr not in subfamily, Grandchild 18+ spouse of subfamily RP, Grandchild <18 ever marr not in subfamily, Grandchild <18 never marr RP of subfamily, Grandchild <18 never marr child of subfamily RP, Grandchild <18 never marr not in subfamily, Householder, In group quarters, Nonfamily householder, Other Rel 18+ ever marr RP of subfamily, Other Rel 18+ ever marr not in subfamily, Other Rel 18+ never marr RP of subfamily, Other Rel 18+ never marr not in subfamily, Other Rel 18+ spouse of subfamily RP, Other Rel <18 ever marr RP of subfamily, Other Rel <18 ever marr not in subfamily, Other Rel <18 never marr child of subfamily RP, Other Rel <18 never marr not in subfamily, Other Rel <18 never married RP of subfamily, Other Rel <18 spouse of subfamily RP, RP of unrelated subfamily, Secondary individual, Spouse of RP of unrelated subfamily, Spouse of householder}",0
HHDREL,detailed household summary in household,string ,N,"{Child 18 or older, Child under 18 ever married, Child under 18 never married, Group Quarters- Secondary individual, Householder, Nonrelative of householder, Other relative of householder, Spouse of householder}",0
MARSUPWT,instance weight,float,R,"{37.87, 39.11, 40.67, 42.82, 45.74, 52.43, 60.71, 70.93, 88.39, 100.34, 118.00, 135.87, 150.83, 167.79, …, 18656.3}",0
MIGMTR1,migration code-change in msa,string ,N,"{?, Abroad to MSA, Abroad to nonMSA, MSA to MSA, MSA to nonMSA, NonMSA to MSA, NonMSA to nonMSA, Nonmover, Not identifiable, Not in universe}",0
MIGMTR3,migration code-change in reg,string ,N,"{?, Abroad, Different county same state, Different division same region, Different region, Different state same division, Nonmover, Not in universe, Same county}",0
MIGMTR4,migration code-move within reg,string ,N,"{?, Abroad, Different county same state, Different state in Midwest, Different state in Northeast, Different state in South, Different state in West, Nonmover, Not in universe, Same county}",0
MIGSAME,live in this house 1 year ago,string ,N,"{No, Not in universe under 1 year old, Yes}",0
MIGSUN,migration prev res in sunbelt,string ,N,"{?, No, Not in universe, Yes}",0
NOEMP,num persons worked for employer,int,R,"{0, 1, 2, 3, 4, 5, 6}",0
PARENT,family member under 18,string ,N,"{Both parents present, Father only present, Mother only present, Neither parent present, Not in universe}",0
PEFNTVTY,country of birth father,string ,N,"{?, Cambodia, Canada, China, Columbia, Cuba, Dominican-Republic, Ecuador, El-Salvador, England, France, Germany, Greece, Guatemala, Haiti, Holand-Netherlands, Honduras, Hong Kong, Hungary, India, Iran, Ireland, Italy, Jamaica, Japan, Laos, Mexico, Nicaragua, Outlying-U S (Guam USVI etc), Panama, Peru, Philippines, Poland, Portugal, Puerto-Rico, Scotland, South Korea, Taiwan, Thailand, Trinadad&Tobago, United-States, Vietnam, Yugoslavia}",0
PEMNTVTY,country of birth mother,string ,N,"{?, Cambodia, Canada, China, Columbia, Cuba, Dominican-Republic, Ecuador, El-Salvador, England, France, Germany, Greece, Guatemala, Haiti, Holand-Netherlands, Honduras, Hong Kong, Hungary, India, Iran, Ireland, Italy, Jamaica, Japan, Laos, Mexico, Nicaragua, Outlying-U S (Guam USVI etc), Panama, Peru, Philippines, Poland, Portugal, Puerto-Rico, Scotland, South Korea, Taiwan, Thailand, Trinadad&Tobago, United-States, Vietnam, Yugoslavia}",0
PENATVTY,country of birth self,string ,N,"{?, Cambodia, Canada, China, Columbia, Cuba, Dominican-Republic, Ecuador, El-Salvador, England, France, Germany, Greece, Guatemala, Haiti, Holand-Netherlands, Honduras, Hong Kong, Hungary, India, Iran, Ireland, Italy, Jamaica, Japan, Laos, Mexico, Nicaragua, Outlying-U S (Guam USVI etc), Panama, Peru, Philippines, Poland, Portugal, Puerto-Rico, Scotland, South Korea, Taiwan, Thailand, Trinadad&Tobago, United-States, Vietnam, Yugoslavia}",0
PRCITSHP,citizenship,string ,N,"{Foreign born- Not a citizen of U S, Foreign born- U S citizen by naturalization, Native- Born abroad of American Parent(s), Native- Born in Puerto Rico or U S Outlying, Native- Born in the United States}",0
SEOTR,own business or self employed,int,N,"{0, 1, 2}",0
VETQVA,fill inc questionaire for veteran's admin,string ,N,"{No, Not in universe, Yes}",0
VETYN,veterans benefits,int,N,"{0, 1, 2}",0
WKSWORK,weeks worked in year,int,R,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52}",0
YEAR,94 or 95,int,I,"{94, 95}",0
